Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,58.125,68.125,58.125,67.25,42.29494094848633,351744
2002-07-02,61.25,67.25,59.75,66.5,41.823265075683594,191040
2002-07-03,68.125,71.875,65.625,69.5,43.71000671386719,988736
2002-07-04,71.25,71.25,68.125,68.375,43.002479553222656,578112
2002-07-05,70.25,70.25,67.125,68.0,42.766632080078125,351488
2002-07-08,68.0,71.0,67.625,68.5,43.081092834472656,1232000
2002-07-09,68.75,73.125,66.375,67.25,42.29494094848633,7625536
2002-07-10,66.75,69.875,62.625,63.875,40.17232894897461,3665280
2002-07-11,63.0,64.125,61.25,62.0,38.993099212646484,2383168
2002-07-12,63.75,65.5,62.0,64.75,40.72263717651367,1711232
2002-07-15,56.25,65.0,56.25,64.375,40.48680114746094,983168
2002-07-16,64.5,65.125,63.375,64.25,40.40817642211914,896192
2002-07-17,64.125,64.125,61.25,62.25,39.150333404541016,459712
2002-07-18,64.0,64.375,62.25,62.625,39.38618087768555,625216
2002-07-19,62.25,62.5,60.625,61.5,38.67864227294922,530816
2002-07-22,57.875,60.75,57.625,58.5,36.79188537597656,558208
2002-07-23,57.75,60.125,56.25,59.625,37.499420166015625,1331840
2002-07-24,58.75,59.125,55.25,55.75,35.062347412109375,585472
2002-07-25,56.5,59.25,55.375,56.75,35.69126892089844,901312
2002-07-26,55.625,55.625,51.375,52.125,32.78251647949219,764288
2002-07-29,53.125,53.375,49.375,52.125,32.78251647949219,883456
2002-07-30,54.375,54.375,46.375,48.625,30.58129119873047,475648
2002-07-31,45.625,47.375,43.75,46.375,29.166217803955078,1733312
2002-08-01,46.875,48.375,46.25,48.125,30.266828536987305,1915840
2002-08-02,46.25,52.375,45.0,50.25,31.603282928466797,849856
2002-08-05,50.25,51.25,49.625,50.125,31.524669647216797,371264
2002-08-06,48.75,49.875,45.25,49.0,30.8171329498291,696640
2002-08-07,49.5,51.25,48.75,49.75,31.288829803466797,520896
2002-08-08,50.0,50.625,47.125,48.5,30.502674102783203,699776
2002-08-09,48.125,49.375,47.25,48.5,30.502674102783203,374912
2002-08-12,49.125,50.625,48.75,49.375,31.052980422973633,397568
2002-08-13,49.5,49.875,48.25,48.75,30.659900665283203,152512
2002-08-14,47.5,49.75,47.5,49.375,31.052980422973633,309696
2002-08-15,49.375,49.375,49.375,49.375,31.052980422973633,0
2002-08-16,50.0,53.625,49.75,52.75,33.17558670043945,1586944
2002-08-19,53.375,54.375,51.875,52.25,32.86112976074219,692416
2002-08-20,53.125,55.25,52.875,54.375,34.19757843017578,913920
2002-08-21,54.75,54.75,52.25,52.75,33.17558670043945,1915200
2002-08-22,53.625,59.375,53.625,57.75,36.320186614990234,3340352
2002-08-23,58.125,62.5,55.25,61.75,38.835872650146484,6472448
2002-08-26,59.125,61.75,49.625,58.875,37.02772903442383,1889344
