Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,45.0,46.0,45.900001525878906,46.0,21.031728744506836,500
1996-01-02,45.0,45.5,45.0,45.0,20.57451629638672,800
1996-01-03,42.5,48.0,42.5,48.0,21.946151733398438,200
1996-01-04,45.25,45.25,45.25,45.25,20.688825607299805,100
1996-01-05,42.54999923706055,43.04999923706055,42.54999923706055,43.04999923706055,19.682954788208008,800
1996-01-08,43.04999923706055,46.0,42.5,43.5,19.888696670532227,1200
1996-01-09,43.5,43.5,42.5,43.0,19.66009521484375,1000
1996-01-10,41.5,41.5,41.0,41.0,18.74567222595215,500
1996-01-11,41.0,41.75,41.0,41.75,19.088584899902344,1200
1996-01-12,41.75,41.75,41.75,41.75,19.088584899902344,0
1996-01-15,41.75,41.75,41.0,41.5,18.974273681640625,1200
1996-01-16,41.5,40.95000076293945,39.5,40.099998474121094,18.334178924560547,900
1996-01-17,39.75,39.75,39.75,39.75,18.17415428161621,100
1996-01-18,39.0,39.5,39.0,39.5,18.059858322143555,200
1996-01-19,39.5,39.5,39.5,39.5,18.059858322143555,0
1996-01-22,37.5,37.5,37.0,37.0,16.916826248168945,600
1996-01-23,40.0,40.0,36.0,36.0,16.45961570739746,1400
1996-01-24,36.5,36.5,36.5,36.5,16.688215255737305,200
1996-01-25,36.5,37.0,36.04999923706055,36.04999923706055,16.48247718811035,700
1996-01-26,36.04999923706055,36.04999923706055,36.04999923706055,36.04999923706055,16.48247718811035,0
1996-01-29,35.5,35.5,35.099998474121094,35.099998474121094,16.048124313354492,200
1996-01-30,36.0,37.0,36.0,37.0,16.916826248168945,400
1996-01-31,38.0,40.70000076293945,37.20000076293945,39.20000076293945,17.922693252563477,1500
1996-02-01,39.20000076293945,43.349998474121094,43.349998474121094,43.349998474121094,19.82011604309082,400
1996-02-02,43.349998474121094,48.0,47.900001525878906,48.0,21.946151733398438,300
1996-02-05,50.0,50.04999923706055,49.5,50.04999923706055,22.88343620300293,3500
1996-02-06,52.0,52.5,50.75,50.75,23.203481674194336,4300
1996-02-07,47.5,47.5,46.0,46.0,21.031728744506836,1200
1996-02-08,46.0,50.0,46.0,48.20000076293945,22.03759765625,1400
1996-02-09,49.0,53.04999923706055,49.0,53.0,24.232210159301758,2500
1996-02-12,56.0,56.0,53.0,54.0,24.68941879272461,2700
1996-02-13,54.0,54.04999923706055,52.5,52.849998474121094,24.16362762451172,2700
1996-02-14,52.5,54.75,52.5,54.75,25.032323837280273,2200
1996-02-15,52.0,54.0,51.5,53.95000076293945,24.666553497314453,900
1996-02-16,53.95000076293945,53.0,51.5,51.5,23.546388626098633,1400
1996-02-19,52.0,52.0,49.0,50.5,23.089181900024414,800
1996-02-20,47.5,48.95000076293945,47.0,47.04999923706055,21.511802673339844,800
1996-02-21,47.04999923706055,47.04999923706055,47.04999923706055,47.04999923706055,21.511802673339844,0
1996-02-22,47.04999923706055,49.5,42.5,49.5,22.631967544555664,1600
1996-02-23,49.5,50.0,49.0,49.0,22.403369903564453,1300
1996-02-26,50.0,50.25,47.0,49.400001525878906,22.58625030517578,2100
1996-02-27,48.0,50.0,48.0,49.0,22.403369903564453,800
1996-02-28,48.0,48.099998474121094,48.0,48.099998474121094,21.99187469482422,500
1996-02-29,48.099998474121094,48.25,44.29999923706055,46.0,21.031728744506836,1000
1996-03-01,44.0,45.95000076293945,44.0,44.54999923706055,20.368778228759766,900
1996-03-04,45.5,46.0,44.0,44.400001525878906,20.300188064575195,1700
1996-03-05,44.400001525878906,44.400001525878906,44.400001525878906,44.400001525878906,20.300188064575195,0
1996-03-06,44.400001525878906,44.5,44.25,44.5,20.345918655395508,500
1996-03-07,44.5,44.75,44.25,44.75,20.46021842956543,1100
1996-03-08,44.75,43.75,40.5,43.5,19.888696670532227,3200
1996-03-11,43.5,42.5,41.0,42.5,19.431489944458008,1400
1996-03-12,43.0,43.95000076293945,43.0,43.849998474121094,20.048723220825195,2300
1996-03-13,43.0,45.599998474121094,43.0,45.599998474121094,20.848840713500977,1100
1996-03-14,45.599998474121094,46.0,41.70000076293945,41.70000076293945,19.065723419189453,1500
1996-03-15,43.0,43.5,43.0,43.5,19.888696670532227,1000
1996-03-18,40.0,43.0,40.0,42.0,19.202882766723633,3400
1996-03-19,41.0,42.5,40.599998474121094,40.599998474121094,18.562788009643555,3200
1996-03-20,40.599998474121094,40.599998474121094,40.599998474121094,40.599998474121094,18.562788009643555,0
1996-03-21,40.599998474121094,43.5,41.0,42.0,19.202882766723633,1100
1996-03-22,41.5,42.25,41.5,42.25,19.317184448242188,500
1996-03-25,42.25,42.25,41.29999923706055,41.5,18.974273681640625,800
1996-03-26,41.04999923706055,41.5,41.04999923706055,41.45000076293945,18.951417922973633,700
1996-03-27,41.0,43.0,41.0,43.0,19.66009521484375,300
1996-03-28,45.0,45.0,43.5,43.5,19.888696670532227,800
1996-03-29,43.5,43.5,43.0,43.5,19.888696670532227,900
1996-04-01,42.0,46.0,42.0,46.0,21.031728744506836,1500
1996-04-02,45.0,46.95000076293945,45.0,46.5,21.26033592224121,2100
1996-04-03,46.5,47.75,46.25,46.5,21.26033592224121,800
1996-04-04,46.5,46.5,46.5,46.5,21.26033592224121,0
