Date,Open,High,Low,Close,Adj Close,Volume
2024-02-14,311.0,326.54998779296875,310.0,326.54998779296875,326.54998779296875,282697
2024-02-15,342.8500061035156,342.8500061035156,342.8500061035156,342.8500061035156,342.8500061035156,24576
2024-02-16,359.95001220703125,359.95001220703125,359.95001220703125,359.95001220703125,359.95001220703125,6741
2024-02-19,377.8999938964844,377.8999938964844,377.8999938964844,377.8999938964844,377.8999938964844,22916
2024-02-20,396.75,396.75,396.75,396.75,396.75,3836
2024-02-21,416.54998779296875,416.54998779296875,378.1000061035156,395.29998779296875,395.29998779296875,437725
2024-02-22,375.6000061035156,388.0,375.54998779296875,375.54998779296875,375.54998779296875,52127
2024-02-23,359.0,394.29998779296875,356.79998779296875,391.3999938964844,391.3999938964844,166798
2024-02-26,392.0,398.79998779296875,371.8500061035156,391.8999938964844,391.8999938964844,75102
2024-02-27,390.0,395.5,383.1000061035156,387.25,387.25,28903
2024-02-28,399.8500061035156,414.8999938964844,351.8500061035156,379.5,379.5,181816
2024-02-29,375.0,392.0,364.95001220703125,387.3999938964844,387.3999938964844,99304
2024-03-01,392.1000061035156,449.79998779296875,389.04998779296875,437.70001220703125,437.70001220703125,307941
2024-03-04,449.0,458.0,417.04998779296875,427.1499938964844,427.1499938964844,103750
2024-03-05,436.0,436.0,401.1000061035156,405.3999938964844,405.3999938964844,118254
2024-03-06,400.0,442.0,385.0,437.5,437.5,177236
2024-03-07,445.0,466.0,435.25,441.70001220703125,441.70001220703125,129793
2024-03-11,415.0,447.1499938964844,408.45001220703125,412.20001220703125,412.20001220703125,113530
2024-03-12,402.0,429.25,400.0,421.29998779296875,421.29998779296875,128008
2024-03-13,423.95001220703125,426.8999938964844,355.25,367.70001220703125,367.70001220703125,163890
2024-03-14,361.0,405.0,361.0,392.75,392.75,75571
2024-03-18,385.0,408.79998779296875,385.0,394.8999938964844,394.8999938964844,20237
2024-03-19,390.04998779296875,405.25,376.1000061035156,381.0,381.0,55467
2024-03-20,375.0,388.79998779296875,367.6000061035156,374.0,374.0,51637
2024-03-21,385.45001220703125,395.0,379.3999938964844,389.45001220703125,389.45001220703125,23601
2024-03-22,394.95001220703125,397.8999938964844,383.8500061035156,396.25,396.25,37998
2024-03-26,396.25,404.0,379.0,382.25,382.25,45385
2024-03-27,375.25,392.3500061035156,373.1000061035156,377.54998779296875,377.54998779296875,35044
2024-03-28,386.0,395.3999938964844,373.0,375.8999938964844,375.8999938964844,42753
2024-04-01,382.0,390.0,371.1000061035156,372.8500061035156,372.8500061035156,68996
2024-04-02,372.25,376.8500061035156,362.75,365.54998779296875,365.54998779296875,68797
2024-04-03,372.8999938964844,373.95001220703125,351.1000061035156,353.0,353.0,88733
2024-04-04,355.0,368.79998779296875,352.0,357.3999938964844,357.3999938964844,99416
2024-04-05,360.0,360.0,344.95001220703125,346.54998779296875,346.54998779296875,203981
2024-04-08,350.0,353.0,341.20001220703125,345.8500061035156,345.8500061035156,75938
